TE_subfamily,names,scores,logfoldchanges,pvals,pvals_adj,bulk_TE,bulk_baseMean,bulk_log2FoldChange,bulk_pvalue,bulk_padj,is_TE,bulk_lfcSE,bulk_stat,bulk_TE_family,bulk_TE_class,bulk_significance
MLT2B2,MLT2B2:TE,3.1348133,0.274477,0.0017196353812759,0.011682559083239,MLT2B2:ERVL:LTR,1783.48510212416,0.0254595152754342,0.566927473518716,0.995278921297154,True,0.044464368622123,0.572582408440339,ERVL,LTR,Not Significant
L1MC3,L1MC3:TE,25.647463,0.27300346,4.51266849880024e-145,9.226411682410968e-143,L1MC3:L1:LINE,9155.61280272576,-0.0412381775163043,0.469548663830513,0.995278921297154,True,0.0570207438603402,-0.723213601304609,L1,LINE,Not Significant
L1MD2,L1MD2:TE,26.113617,0.2695783,2.553698426738188e-150,5.727716881762408e-148,L1MD2:L1:LINE,8621.2366811045,-0.0335945299666477,0.557375917354927,0.995278921297154,True,0.0572558945284792,-0.586743605061269,L1,LINE,Not Significant
L1M2c,L1M2c:TE,8.187498,0.2691204,2.667125571407965e-16,5.047887849412241e-15,L1M2c:L1:LINE,279.146615965174,0.0390801621533738,0.651795216993491,0.995278921297154,True,0.0866004665960357,0.451269648876959,L1,LINE,Not Significant
Tigger18a,Tigger18a:TE,6.9455066,0.26729643,3.771046996554742e-12,5.869436430940071e-11,Tigger18a:TcMar-Tigger:DNA,1025.89624299407,-0.0125304381062797,0.839570641602003,0.995278921297154,True,0.0618962178992318,-0.202442710258637,TcMar-Tigger,DNA,Not Significant
HERV3-int,HERV3-int:TE,2.6791894,0.26706186,0.0073800630252126,0.0442553460141194,HERV3-int:ERV1:LTR,347.376655562297,0.0315954828792136,0.714535690631127,0.995278921297154,True,0.0863804171443433,0.365771362581139,ERV1,LTR,Not Significant
HERVK9-int,HERVK9-int:TE,7.4019895,0.26627904,1.341593015792204e-13,2.2576471494756266e-12,HERVK9-int:ERVK:LTR,1170.74485759679,-0.067287773407737,0.405424195623288,0.995278921297154,True,0.0808773541378886,-0.831972980879387,ERVK,LTR,Not Significant
L1P4,L1P4:TE,11.033891,0.2631338,2.622678097045357e-28,7.429273346531406e-27,L1P4:L1:LINE,1670.60639137532,-0.0185275520675549,0.769642055206041,0.995278921297154,True,0.063267837966452,-0.292843135834343,L1,LINE,Not Significant
HAL1b,HAL1b:TE,10.19412,0.2630307,2.106430475510387e-24,5.383398634478291e-23,HAL1b:L1:LINE,3654.92713505111,-0.0568599431870225,0.215079050290942,0.995278921297154,True,0.0458651568671377,-1.23971980193449,L1,LINE,Not Significant
HERVK22-int,HERVK22-int:TE,4.484242,0.26171884,7.317360657217646e-06,6.988346824044371e-05,HERVK22-int:ERVK:LTR,627.380185015621,-0.0423495086924448,0.536145906018511,0.995278921297154,True,0.0684545375739966,-0.618651592623304,ERVK,LTR,Not Significant
