names,scores,logfoldchanges,pvals,pvals_adj,is_TE
L1ME3C:TE,11.390006,0.2823963,4.6895484935581055e-30,1.3899840234111327e-28,True
L1ME3:TE,18.36399,0.28109214,2.551526832389481e-75,1.7917322183987348e-73,True
MLT1O:TE,6.0117803,0.28024787,1.8349714518325043e-09,2.4146264003864242e-08,True
LTR33A_:TE,3.5135388,0.2799043,0.0004421798844542,0.0033224291068178,True
MER6A:TE,4.559717,0.2792618,5.122251110196964e-06,4.959705448355984e-05,True
MLT2B2:TE,3.1348133,0.274477,0.0017196353812759,0.011682559083239,True
L1MC3:TE,25.647463,0.27300346,4.51266849880024e-145,9.226411682410968e-143,True
L1MD2:TE,26.113617,0.2695783,2.553698426738188e-150,5.7277168817624076e-148,True
L1M2c:TE,8.187498,0.2691204,2.667125571407965e-16,5.047887849412241e-15,True
Tigger18a:TE,6.9455066,0.26729643,3.771046996554742e-12,5.869436430940071e-11,True
HERV3-int:TE,2.6791894,0.26706186,0.0073800630252126,0.0442553460141194,True
HERVK9-int:TE,7.4019895,0.26627904,1.341593015792204e-13,2.2576471494756266e-12,True
L1P4:TE,11.033891,0.2631338,2.622678097045357e-28,7.429273346531406e-27,True
HAL1b:TE,10.19412,0.2630307,2.106430475510387e-24,5.383398634478291e-23,True
HERVK22-int:TE,4.484242,0.26171884,7.317360657217646e-06,6.988346824044371e-05,True
L1ME3D:TE,11.607731,0.25955927,3.7647299353466518e-31,1.1557605536960535e-29,True
MER11B:TE,3.2344697,0.2567155,0.0012186884737296,0.0085081723758292,True
Tigger9b:TE,3.0507317,0.25317183,0.0022828447764518,0.015159279663336,True
L1MB7:TE,33.775646,0.24064015,4.4941370949364525e-250,3.650575415900408e-247,True
L1ME3F:TE,13.115579,0.24019344,2.6812667023279337e-39,9.899934980155537e-38,True
Charlie10:TE,3.73198,0.23974714,0.0001899804687227,0.0015089489924585,True
HERVP71A-int:TE,4.3337784,0.23933667,1.4657159898986311e-05,0.0001354615439003,True
L1MCa:TE,20.225212,0.23435184,5.87374560791053e-91,5.14680537159624e-89,True
L1MCc:TE,9.186679,0.23281139,4.0515658173387924e-20,8.966849089846642e-19,True
L1ME1:TE,37.56496,0.232136,8.02914351044815e-309,1.3406439344806619e-305,True
L1ME5:TE,8.6632805,0.22927481,4.583806398819546e-18,9.333760251796848e-17,True
L1M4c:TE,13.388585,0.22849824,7.051116922098822e-41,2.7134611919805396e-39,True
L1M4a1:TE,9.920493,0.22759244,3.390760833940495e-23,8.394507155196175e-22,True
L1ME4c:TE,11.215979,0.22752795,3.403992859194015e-29,9.923084906214947e-28,True
Charlie7:TE,8.630232,0.22631788,6.1227703274937855e-18,1.240862186060861e-16,True
L1MC:TE,11.30182,0.22459503,1.285272664296259e-29,3.7723505786546924e-28,True
LTR49-int:TE,5.890591,0.22428074,3.848161149399268e-09,4.953168451614347e-08,True
L1MA10:TE,9.260556,0.22315831,2.033705137533817e-20,4.571653545892212e-19,True
MIR3936HG,3.7057993,0.22295529,0.0002107250791968,0.001661858371887,True
L1MD1:TE,19.085693,0.22293535,3.320453565154577e-81,2.507443012580925e-79,True
L1MB3:TE,24.709068,0.22177282,8.544996198866284e-135,1.5378434775863843e-132,True
L1MDa:TE,21.065725,0.22037217,1.6409569653660652e-98,1.6064808336832932e-96,True
MLT1E3:TE,4.40615,0.21979074,1.0522413031122676e-05,9.873591122397504e-05,True
