TE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,TE_family,TE_class,significance
LTR72:ERV1:LTR,171.607302627102,-0.0144215229327826,0.0951170916683259,-0.151618627944077,0.879487740295557,0.9962736297742,ERV1,LTR72,Not significant
LTR80A:ERVL:LTR,280.622284218431,0.0194498386515819,0.128386294794686,0.151494664463102,0.879585519405277,0.9962736297742,ERVL,LTR80A,Not significant
MLT1H-int:ERVL-MaLR:LTR,600.873668162663,0.0104587868633654,0.0691343352157029,0.151282092042013,0.879753195172966,0.9962736297742,ERVL-MaLR,MLT1H-int,Not significant
MER129:LTR:LTR?,85.7672818945795,-0.017926563515998,0.118889049949372,-0.150783974837311,0.880146127950929,0.9962736297742,LTR,MER129,Not significant
MER9a1:ERVK:LTR,341.832059423202,0.0159649794550473,0.106141876813937,0.15041169361489,0.880439816054144,0.9962736297742,ERVK,MER9a1,Not significant
LTR29:ERV1:LTR,2409.03451985159,0.0710857434730379,0.494636799285637,0.143713010386007,0.885727097051118,0.9962736297742,ERV1,LTR29,Not significant
AluSq2:Alu:SINE,27924.9697994208,-0.00805506420544506,0.0566698228409172,-0.142140275046512,0.886969206237825,0.9962736297742,Alu,AluSq2,Not significant
Charlie30a:hAT-Charlie:DNA,928.550196581094,0.0113962065656955,0.080587582025207,0.141413928539646,0.887542951460969,0.9962736297742,hAT-Charlie,Charlie30a,Not significant
MER103C:hAT-Charlie:DNA,5723.70456935637,-0.00548731635143309,0.0391487944201806,-0.140165653443582,0.888529108543939,0.9962736297742,hAT-Charlie,MER103C,Not significant
LTR21B:ERV1:LTR,22.2976525210948,-0.0364718384973678,0.260805772142255,-0.139842911442445,0.888784107968748,0.9962736297742,ERV1,LTR21B,Not significant
MLT2B1:ERVL:LTR,3620.96355591585,0.00583296526625922,0.0417204925513936,0.139810556145133,0.888809672621541,0.9962736297742,ERVL,MLT2B1,Not significant
MER50C:ERV1:LTR,54.3171335887011,-0.0267288925109225,0.191935660185221,-0.139259648181733,0.889244975200117,0.9962736297742,ERV1,MER50C,Not significant
LTR39-int:ERV1:LTR,129.018555895028,-0.0187105204881057,0.134607664379692,-0.139000409629933,0.889449825352804,0.9962736297742,ERV1,LTR39-int,Not significant
LTR10F:ERV1:LTR,686.630756901152,0.0181913677316873,0.131621072201647,0.138210146957454,0.890074335949215,0.9962736297742,ERV1,LTR10F,Not significant
L1PA15:L1:LINE,5619.87135071418,-0.00971024412471503,0.0711585175659619,-0.136459336940429,0.891458168214276,0.9962736297742,L1,L1PA15,Not significant
L1PBa1:L1:LINE,406.00622429611,-0.0120112459962295,0.0880367896026942,-0.136434393512481,0.891477885784986,0.9962736297742,L1,L1PBa1,Not significant
FordPrefect:hAT-Tip100:DNA,1428.09156464847,-0.0693271120799107,0.511023093370761,-0.135663364296556,0.892087410952851,0.9962736297742,hAT-Tip100,FordPrefect,Not significant
LTR9A1:ERV1:LTR,803.961721484015,0.00933069944122807,0.0698682591243485,0.133547043509725,0.893760762093412,0.9962736297742,ERV1,LTR9A1,Not significant
L2:L2:LINE,110140.311635339,0.0149902084148244,0.112286895563173,0.133499179397927,0.893798613208056,0.9962736297742,L2,L2,Not significant
MSR1:Satellite:Satellite,335.67659255319,-0.0362256468722154,0.272111344815816,-0.133128028516178,0.894092128885258,0.9962736297742,Satellite,MSR1,Not significant
L1PA17:L1:LINE,4098.99147304709,0.00812957398253498,0.0628024526360289,0.129446759502369,0.897004150159332,0.9962736297742,L1,L1PA17,Not significant
MER57E1:ERV1:LTR,542.581448915716,-0.00928336465095816,0.0730653639696805,-0.127055613584713,0.898896381893344,0.9962736297742,ERV1,MER57E1,Not significant
MER34A:ERV1:LTR,1648.4214637158,-0.00712070256944311,0.0567355414173606,-0.125506911391952,0.900122253805204,0.9962736297742,ERV1,MER34A,Not significant
Zaphod3:hAT-Tip100:DNA,475.070687662675,-0.0101670779218758,0.0812978537082169,-0.125059610532476,0.900476358325038,0.9962736297742,hAT-Tip100,Zaphod3,Not significant
L1PA5:L1:LINE,13519.6227043113,-0.00749743332725441,0.0600187404237627,-0.124918205119247,0.900588305663545,0.9962736297742,L1,L1PA5,Not significant
Charlie7a:hAT-Charlie:DNA,1293.59132715238,0.00662163983946865,0.0532651872887043,0.124314588505594,0.901066196944071,0.9962736297742,hAT-Charlie,Charlie7a,Not significant
L1M4a2:L1:LINE,1273.28856585155,-0.0118183218321961,0.0955175261524091,-0.123729354268856,0.901529568894569,0.9962736297742,L1,L1M4a2,Not significant
Eulor11:DNA:DNA,13.3933613319498,0.042666499562173,0.359653187868239,0.118632340825529,0.905566642000642,0.9962736297742,DNA,Eulor11,Not significant
CR1-3_Croc:CR1:LINE,631.27872282791,-0.00912617689230542,0.0774795920586812,-0.117788138138279,0.906235528510488,0.9962736297742,CR1,CR1-3_Croc,Not significant
LTR67B:ERVL:LTR,2536.00854907152,0.00488511646435074,0.0419789064103203,0.116370741452897,0.9073587227617,0.9962736297742,ERVL,LTR67B,Not significant
UCON9:UCON9:Unknown,51.2423683601084,0.022219953729919,0.196056279857095,0.113334567737973,0.909765312691109,0.9962736297742,UCON9,UCON9,Not significant
LTR39:ERV1:LTR,2263.8598812404,-0.0248349223322432,0.219552887200285,-0.113115899539903,0.909938669885302,0.9962736297742,ERV1,LTR39,Not significant
LTR49:ERV1:LTR,1480.98484621314,-0.00706250768545376,0.0625123094658175,-0.112977871811241,0.910048098612559,0.9962736297742,ERV1,LTR49,Not significant
AluSz:Alu:SINE,50709.6650735815,-0.005911013896808,0.0523703804520281,-0.112869409116143,0.910134089304957,0.9962736297742,Alu,AluSz,Not significant
MER45R:hAT-Tip100:DNA,180.434231101144,0.00902074128729798,0.0800199185062422,0.112731198127805,0.910243666372064,0.9962736297742,hAT-Tip100,MER45R,Not significant
MSTB1-int:ERVL-MaLR:LTR,163.34923184529,-0.0147661717658573,0.133168710118224,-0.110883192851746,0.911708973568052,0.9962736297742,ERVL-MaLR,MSTB1-int,Not significant
Helitron1Na_Mam:Helitron:RC,136.593656540523,-0.0109007871767716,0.0985169738799368,-0.110648822710049,0.911894830233099,0.9962736297742,Helitron,Helitron1Na_Mam,Not significant
MER117:hAT-Charlie:DNA,2459.34552813274,0.00813373835423568,0.0736577943554158,0.110426037399227,0.9120715045393,0.9962736297742,hAT-Charlie,MER117,Not significant
LTR33A_:ERVL:LTR,1492.92590151169,0.00899180365166452,0.0820732633042194,0.109558256728927,0.912759717605266,0.9962736297742,ERVL,LTR33A_,Not significant
LTR16E2:ERVL:LTR,1505.59570325801,0.00753787831036155,0.0690639953626367,0.109143386083909,0.913088763293813,0.9962736297742,ERVL,LTR16E2,Not significant
L1PA4:L1:LINE,14276.9620091831,-0.00730996484797883,0.067047132709907,-0.109027255193848,0.913180872671685,0.9962736297742,L1,L1PA4,Not significant
LTR52:ERVL:LTR,590.977741685867,-0.0099431155203776,0.0920033060357402,-0.108073458974562,0.913937421489199,0.9962736297742,ERVL,LTR52,Not significant
LTR86B2:ERVL:LTR,310.590617957714,0.0118264192133064,0.109642784537594,0.107863178258223,0.914104226152865,0.9962736297742,ERVL,LTR86B2,Not significant
MER95:ERV1:LTR,156.050093817056,-0.0104428304645537,0.0968498038487599,-0.107825003764191,0.914134508382822,0.9962736297742,ERV1,MER95,Not significant
LTR53:ERVL:LTR,448.619475008457,0.00939651840471194,0.0878945812568977,0.106906686058926,0.914863008885177,0.9962736297742,ERVL,LTR53,Not significant
LTR78B:ERV1:LTR,1076.16459297181,-0.00745108303641163,0.0698492151330974,-0.106673826215708,0.915047747753809,0.9962736297742,ERV1,LTR78B,Not significant
MER5A1:hAT-Charlie:DNA,8708.02094775154,0.00464053009233542,0.0435543766960306,0.10654566646016,0.915149424985783,0.9962736297742,hAT-Charlie,MER5A1,Not significant
HSAT4:centr:Satellite,443.571059230842,0.0225376801068787,0.213079576777126,0.105771188622419,0.915763896677829,0.9962736297742,centr,HSAT4,Not significant
MamRep137:TcMar:DNA,192.096158309154,-0.0107357742708783,0.102831609024634,-0.104401500401559,0.916850732042338,0.9962736297742,TcMar,MamRep137,Not significant
MER99:hAT:DNA,509.043688887564,-0.0102795745131822,0.0990044992570065,-0.103829367254284,0.917304760719377,0.9962736297742,hAT,MER99,Not significant
L1PB3:L1:LINE,2692.70746605783,-0.00834049971289187,0.0818559023782085,-0.10189246554702,0.918842030459465,0.9962736297742,L1,L1PB3,Not significant
MER92-int:ERV1:LTR,1642.26996822846,-0.0107067171204297,0.107437387845382,-0.0996554117253692,0.92061790054093,0.9962736297742,ERV1,MER92-int,Not significant
MER1B:hAT-Charlie:DNA,4111.62380078357,0.00449065311504572,0.046793214809765,0.0959680400951762,0.923545955682111,0.9962736297742,hAT-Charlie,MER1B,Not significant
