TE_name,scTE_mean_expression,soloTE_mean_expression,log2_scTE,log2_soloTE,fold_difference,pearson_r,spearman_r
AluSq,21.353882111125845,26.470879156634346,4.482453495249658,4.779831176929111,1.2396284206663515,0.9826695654705839,0.9931688856710245
AluYf1,2.3608274764620076,4.020091755059543,1.7488164857458754,2.3277137333711924,1.7028316532955068,0.9826695654705839,0.9931688856710245
Kanga11a,0.5048236308181939,0.5096310275265179,0.5895944093409299,0.5941959801433545,1.0095229230842069,0.9826695654705839,0.9931688856710245
MLT1N2-int,0.011255138575785705,0.010948786360382639,0.01614703356152545,0.01570991362534229,0.972781115877128,0.9826695654705839,0.9931688856710245
LTR37B,0.6012465190293065,0.656130018871608,0.6791954342767637,0.7278159398770696,1.0912828565257742,0.9826695654705839,0.9931688856710245
AluSg7,10.163257525527118,12.447468601548774,3.4806861731444774,3.7492627152747238,1.224751864268116,0.9826695654705839,0.9931688856710245
Tigger3,1.0825487335897095,1.2052938114140692,1.058350256400215,1.1409708789265531,1.113385267475212,0.9826695654705839,0.9931688856710245
ORSL,0.33060933563187905,0.3614075616580985,0.41208706089985053,0.4450990280189694,1.0931559475114052,0.9826695654705839,0.9931688856710245
Charlie10b,0.1024399946956637,0.11236741068523459,0.14070013268899512,0.15363338340788324,1.096909570420938,0.9826695654705839,0.9931688856710245
HAL1b,2.5070779737435354,2.632752001041192,1.8102695067477181,1.8610628799068936,1.0501276898879173,0.9826695654705839,0.9931688856710245
HERV3-int,0.16257790743933165,0.189204138738856,0.2173273982940349,0.24999638931987764,1.16377521154332,0.9826695654705839,0.9931688856710245
MER34D,0.17078305264553773,0.16725776013535498,0.22747376766729857,0.2231231799029362,0.9793580653729422,0.9826695654705839,0.9931688856710245
LTR73,0.11467312027582549,0.08475954968438862,0.15662069947542953,0.11737528698126543,0.7391405187772058,0.9826695654705839,0.9931688856710245
L1M4b,3.322851743800557,5.108462940066376,2.1119833585212495,2.610809403331408,1.5373731161624937,0.9826695654705839,0.9931688856710245
LTR47A,0.2326282986341334,0.2422724019001757,0.30173781793786897,0.31298155824453955,1.0414571366360907,0.9826695654705839,0.9931688856710245
MLT1E,0.18039716218008223,0.1894156308973775,0.23927235747045697,0.250252940360935,1.0499922975689235,0.9826695654705839,0.9931688856710245
AluYb8,4.110744596207399,23.483747641049,2.3535334960550487,4.613752498070819,5.7127722462115464,0.9826695654705839,0.9931688856710245
AluYh9,0.0367325288423286,0.1398125854102948,0.05204373495555653,0.1887966276120911,3.806233587396217,0.9826695654705839,0.9931688856710245
LTR06,0.017205940856650313,0.0212305589900436,0.024611793034679197,0.03030861426753678,1.2339086274638016,0.9826695654705839,0.9931688856710245
MER90a,0.4889935021880387,0.52687577275981,0.574337458163433,0.6105826886482179,1.0774698851713105,0.9826695654705839,0.9931688856710245
ERVL-E-int,1.986125845378597,2.0228899590030585,1.5782749667711369,1.5959284620982355,1.0185104652900796,0.9826695654705839,0.9931688856710245
LTR28B,0.08786964593555231,0.09357714583197761,0.12150569589973215,0.1290549981486038,1.064954168520447,0.9826695654705839,0.9931688856710245
LTR22E,0.030765150510542367,0.04120843365653674,0.04371566656751644,0.05825890254923228,1.339451712042513,0.9826695654705839,0.9931688856710245
L1MD,6.0542368386155685,6.320117784863669,2.8184900135526867,2.8718668624808457,1.0439165089227842,0.9826695654705839,0.9931688856710245
LTR8,0.9780533085797639,1.0350426238042558,0.9840813072837359,1.0250590119396967,1.0582681072889775,0.9826695654705839,0.9931688856710245
HERVKC4-int,0.034577642222516906,0.03652306891390642,0.04904191957792191,0.05175222550408826,1.0562625575579703,0.9826695654705839,0.9931688856710245
MER4E,0.5182668081156345,0.5351565041973059,0.6024253407676644,0.6183857411457961,1.032588805059351,0.9826695654705839,0.9931688856710245
MLT2A1,0.6651306192812624,0.7641862432485196,0.7356353523103505,0.8190028727025566,1.148926573188592,0.9826695654705839,0.9931688856710245
UCON29,0.07542103169340936,0.08332791045747381,0.1049015913653,0.1154699956577594,1.1048365220688403,0.9826695654705839,0.9931688856710245
AluYa5,5.603351677496353,33.19299472896466,2.72319848221737,5.0956288789169335,5.92377502587939,0.9826695654705839,0.9931688856710245
Charlie12,0.0074592229147327944,0.024809657057330643,0.010721446605117849,0.035355975760070796,3.3260377130873837,0.9826695654705839,0.9931688856710245
L5,0.37113778013526055,0.4008427149085703,0.4553735490387302,0.4862949806368349,1.080037485417087,0.9826695654705839,0.9931688856710245
L1M2a1,0.08632807319984087,0.08892431834450445,0.1194598656662658,0.12290368835853842,1.0300741687544228,0.9826695654705839,0.9931688856710245
Tigger13a,2.3849787826548203,2.4713834840892823,1.759146790889015,1.7955107486393096,1.0362287085986812,0.9826695654705839,0.9931688856710245
LTR2C,0.09904190425672987,0.11732934209670072,0.13624639439528485,0.16005449484273618,1.1846434381360744,0.9826695654705839,0.9931688856710245
MER5A1,4.927744994032621,5.168559250341641,2.56748338560635,2.6249335679636028,1.0488690580571343,0.9826695654705839,0.9931688856710245
MLT1E1A-int,0.008835035141227954,0.00906162556126765,0.012690284017097505,0.013014285620395218,1.0256467930068158,0.9826695654705839,0.9931688856710245
LTR18C,0.017537461875082882,0.017846684453699486,0.02508191003600075,0.025520268450983836,1.017632111137629,0.9826695654705839,0.9931688856710245
MER87,0.03898687176767007,0.04208693954577992,0.05517742502620842,0.059475644237646605,1.079515681294774,0.9826695654705839,0.9931688856710245
MLT1F,1.4074061795517836,1.4349254896856902,1.2674795750436765,1.2838776255701834,1.019553211028756,0.9826695654705839,0.9931688856710245
L1M4a2,1.6243369579631348,1.7708563805557362,1.3919529700978852,1.4703319347710773,1.0902026034470778,0.9826695654705839,0.9931688856710245
L1MA9,12.19778543959687,13.356884883191254,3.722223963611391,3.843670846060719,1.0950254002437338,0.9826695654705839,0.9931688856710245
MER104,0.9811198780002652,1.066343463265439,0.9863161806634652,1.0470800758709062,1.0868635801469964,0.9826695654705839,0.9931688856710245
MamRep1879,0.34779870043760774,0.37308843625951715,0.4306050398679902,0.4574245478770236,1.0727137153842667,0.9826695654705839,0.9931688856710245
L1MA7,6.4435253945100115,6.685397279885469,2.8959860708705736,2.9421198388238397,1.0375371974909546,0.9826695654705839,0.9931688856710245
LTR1D1,0.0945663705078902,0.09541550074835686,0.13035943693046062,0.13147820057362888,1.0089791977317972,0.9826695654705839,0.9931688856710245
MERX,0.17429717544092296,0.18043534847400272,0.2317975526398214,0.23931902844489097,1.03521670912928,0.9826695654705839,0.9931688856710245
Tigger17c,0.3159892587190028,0.3824591657447778,0.39614771365060947,0.4672368676226995,1.2103549569191168,0.9826695654705839,0.9931688856710245
MER75,0.21412942580559607,0.22961540964404242,0.27992222061772365,0.298207150230569,1.0723206708884265,0.9826695654705839,0.9931688856710245
AluSz6,56.361706007160855,60.59504132231405,5.842016027076937,5.944742307046856,1.0751101344325495,0.9826695654705839,0.9931688856710245
Charlie5,1.4623392123060601,1.555833929849678,1.3000295214493724,1.353794097487567,1.0639350409606991,0.9826695654705839,0.9931688856710245
Zaphod,0.624237501657605,0.6331261794754994,0.6997626038354182,0.7076362614880987,1.0142392562011533,0.9826695654705839,0.9931688856710245
MER113B,0.24728152764885294,0.24889373332465672,0.31878713694127475,0.32065072520221,1.0065197169820188,0.9826695654705839,0.9931688856710245
MER41-int,1.4219599522609734,1.4718064684063252,1.2761750098909674,1.3055657909767096,1.035054795996602,0.9826695654705839,0.9931688856710245
MER4D1,0.6704846837289484,0.7539858137567514,0.7402667550107519,0.8106370793074182,1.124538459925664,0.9826695654705839,0.9931688856710245
LTR87,0.3243435883835035,0.3401281967853192,0.40527746425235794,0.42237101562337837,1.0486663182571851,0.9826695654705839,0.9931688856710245
AluJr,88.20421694735447,95.90287629335589,6.479040007109566,6.59846758356771,1.0872822140747274,0.9826695654705839,0.9931688856710245
AluSx4,12.5728848959024,15.1553003188651,3.7626554908589056,4.013935664711328,1.2053956147871672,0.9826695654705839,0.9931688856710245
MER87B,0.056375149184458295,0.05742825535237847,0.079122268175723,0.08055978234419175,1.0186803242436913,0.9826695654705839,0.9931688856710245
LTR12B,0.09420169738761437,0.0989295243053296,0.12987869882508274,0.13609886745602176,1.050188339953607,0.9826695654705839,0.9931688856710245
MER44B,1.0364341599257394,1.0984740027331295,1.0260451712359366,1.0693405902858597,1.059858932771812,0.9826695654705839,0.9931688856710245
LTR70,0.16335698183264818,0.1682501464176482,0.21829386284206576,0.22434921801675217,1.0299538129751777,0.9826695654705839,0.9931688856710245
MER83,0.1348461742474473,0.13711199323225093,0.1824967568198856,0.18537435108501488,1.0168029897456747,0.9826695654705839,0.9931688856710245
Tigger3d,0.20594085665031164,0.23023361749202836,0.2701591544108056,0.2989323048278362,1.117959889674393,0.9826695654705839,0.9931688856710245
L1PA5,18.8839676435486,48.87798529316067,4.313533755637695,5.64033128687395,2.5883324000293024,0.9826695654705839,0.9931688856710245
MamRTE1,3.3074525924943643,3.6232185852801457,2.106834918342353,2.208897574653599,1.0954710563026073,0.9826695654705839,0.9931688856710245
MER48,0.065177032223843,0.06762868484414655,0.09109322602504025,0.09440997316881163,1.0376152830666194,0.9826695654705839,0.9931688856710245
MER63D,0.529173849622066,0.5693531593674758,0.6127524339909636,0.6501700457005257,1.0759283733814753,0.9826695654705839,0.9931688856710245
LTR7C,0.18275096141095346,0.16027851890414524,0.24214633355915546,0.21447115846559703,0.8770324247762642,0.9826695654705839,0.9931688856710245
MER130,0.030102108473677232,0.03382247673586256,0.04278735108545812,0.04798847393066246,1.1235916132944455,0.9826695654705839,0.9931688856710245
Eulor1,0.015183662644211643,0.015585345220277217,0.02174075717992418,0.02231148232474822,1.0264549129437628,0.9826695654705839,0.9931688856710245
MER6A,0.6292766211377802,0.6644107503091039,0.7042315676839059,0.7350115117887156,1.0558325669277453,0.9826695654705839,0.9931688856710245
MADE2,0.5789020023869513,0.6293518578772694,0.6589216303129022,0.7042981869206013,1.0871474881302647,0.9826695654705839,0.9931688856710245
L1PA3,18.94960880519825,97.54452723368257,4.318288551593935,6.622703846906351,5.147574719664369,0.9826695654705839,0.9931688856710245
LTR22C2,0.026587985678292004,0.04047634541550075,0.037857281671472016,0.05724416666895256,1.5223547113729847,0.9826695654705839,0.9931688856710245
LTR51,0.1124022012995624,0.1166948656211362,0.15367850470628105,0.15923502647143906,1.0381902148545512,0.9826695654705839,0.9931688856710245
L1P4e,0.0795816204747381,0.08082254181037288,0.11047232071356612,0.11212966917196439,1.015593063155448,0.9826695654705839,0.9931688856710245
Arthur1B,0.778328471025063,0.8253237456888137,0.8305218257150753,0.8681523680348852,1.0603797449370183,0.9826695654705839,0.9931688856710245
AluYa8,0.3335598726959289,0.868663369558144,0.4152825988689062,0.9020066981303542,2.6042202327184305,0.9826695654705839,0.9931688856710245
MER99,0.1947354462272908,0.17152014056094228,0.2566911933775578,0.22838175696470372,0.8807854132147535,0.9826695654705839,0.9931688856710245
MLT1C,5.990816867789418,6.430484154356739,2.805461042475333,2.8934562167306335,1.0733902064047265,0.9826695654705839,0.9931688856710245
MSTA1,0.21883702426733856,0.2077666428060129,0.285505230141624,0.2723417329838342,0.9494126663743014,0.9826695654705839,0.9931688856710245
MER92B,0.3226859832913407,0.3494338517602655,0.4034705944051916,0.4323542587044411,1.0828913239050921,0.9826695654705839,0.9931688856710245
LTR19C,0.03379856782920037,0.03320426888787662,0.047955108763320084,0.047125509360891826,0.9824164431295237,0.9826695654705839,0.9931688856710245
LTR28,0.035787693939795785,0.03741784343072818,0.0507283232092278,0.05299708916490242,1.0455505568232386,0.9826695654705839,0.9931688856710245
L1MA1,4.370226097334571,4.3778876813951975,2.424982829856243,2.4270396244584105,1.0017531321697803,0.9826695654705839,0.9931688856710245
MST-int,0.06464659859435089,0.07107763389080497,0.09037461818208303,0.09906305335623934,1.0994798694183436,0.9826695654705839,0.9931688856710245
L2a,98.85547341201432,104.49230493915533,6.641769603657763,6.720993956185762,1.0570209350325184,0.9826695654705839,0.9931688856710245
MER83B-int,0.0945663705078902,0.09832758508492223,0.13035943693046062,0.13530841398909546,1.0397732772533645,0.9826695654705839,0.9931688856710245
LTR8B,0.5921462670733324,0.5866955163662393,0.670972879278624,0.6660253044970107,0.990794924988529,0.9826695654705839,0.9931688856710245
LTR16B2,0.31234252751624453,0.331587167306566,0.3921443192349999,0.41314687220211777,1.06161389496715,0.9826695654705839,0.9931688856710245
L1PB2,2.6167782787428724,2.729403917485521,1.8547051584131826,1.8989450583600211,1.0430398095066928,0.9826695654705839,0.9931688856710245
MER70B,0.0898421959952261,0.05463005140886315,0.12411925469340152,0.07673701163584265,0.608066741277777,0.9826695654705839,0.9931688856710245
MamSINE1,2.3132376342660126,2.45734365848897,1.7282416810773489,1.7896640140012672,1.062296247468087,0.9826695654705839,0.9931688856710245
LTR16C,1.3265813552579233,1.3969057070345545,1.2182116357412107,1.2611731552659802,1.053011714202524,0.9826695654705839,0.9931688856710245
LTR38A1,0.03659992043495558,0.03362725320491963,0.051859188100058566,0.04771601456517983,0.9187794048023455,0.9826695654705839,0.9931688856710245
AluYd8,0.3680712107147593,1.9708791566343464,0.45214332720568917,1.5708899233591131,5.354613723446681,0.9826695654705839,0.9931688856710245
LTR38-int,0.04435751226627768,0.044104249365523526,0.06261567060560165,0.062265766059142816,0.9942904146954216,0.9826695654705839,0.9931688856710245
L1MD3,3.6691420236042966,3.7756230884362596,2.2231574724167595,2.2556889777456193,1.0290206985840415,0.9826695654705839,0.9931688856710245
LOR1-int,0.690574857445962,0.6600995640007808,0.7575138991505594,0.7312697693930993,0.9558696740662139,0.9826695654705839,0.9931688856710245
LTR16,0.4870706802811298,0.5027005921780439,0.5724732201325801,0.5875575859610245,1.0320896174343397,0.9826695654705839,0.9931688856710245
MER91C,0.2811132475798966,0.31637600052059606,0.3573980123699616,0.3965716293525198,1.1254396693565047,0.9826695654705839,0.9931688856710245
L1PREC2,7.285970030499934,7.503627903950023,3.050670602247205,3.08807846976756,1.0298735614387597,0.9826695654705839,0.9931688856710245
LTR21A,0.06386752420103435,0.04304678857291599,0.0893185135484546,0.06080387514254229,0.674001208658386,0.9826695654705839,0.9931688856710245
L1ME2z,4.4910157804004776,4.594390577210906,2.4570730573890427,2.483980980330863,1.0230181325924685,0.9826695654705839,0.9931688856710245
MamTip3,0.2690127304071078,0.2819515845643262,0.34370654199468514,0.35834177675546847,1.0480975529776144,0.9826695654705839,0.9931688856710245
MER57-int,0.7226329399283915,0.7229452723368257,0.7846153236405732,0.7848768765006342,1.0004322143250513,0.9826695654705839,0.9931688856710245
MER34,0.3871833974273969,0.41049001106266675,0.4721585368092815,0.49619644894979936,1.0601952813165774,0.9826695654705839,0.9931688856710245
MLT1H1,0.9466085399814348,1.0034326804190798,0.9609627894461819,1.0024740329744628,1.060029186228086,0.9826695654705839,0.9931688856710245
MER45R,0.14427794722185386,0.15276241296284246,0.19443752796741678,0.2050952007951822,1.0588063927889237,0.9826695654705839,0.9931688856710245
MER97d,0.10398156743137515,0.1099759224311837,0.14271608443732703,0.15052838201152755,1.057648245185377,0.9826695654705839,0.9931688856710245
L1ME1,25.52516244529903,26.558404373007093,4.729289681401943,4.784420453546719,1.0404793477737224,0.9826695654705839,0.9931688856710245
LTR31,0.2669407240419043,0.26896921975662136,0.3413490271375313,0.3436570754492792,1.0075990488946105,0.9826695654705839,0.9931688856710245
LTR86A2,0.09993701100649781,0.13036051278714128,0.13742090874039029,0.17678297357890058,1.3044267718615548,0.9826695654705839,0.9931688856710245
Tigger19a,1.5111888343720992,1.6418787011127742,1.3283705193178628,1.4015642283862522,1.0864814930202478,0.9826695654705839,0.9931688856710245
LTR27D,0.06648654024665164,0.0694670397605258,0.09286575804422038,0.09689202031802784,1.0448286134055744,0.9826695654705839,0.9931688856710245
L1M3b,0.1870938867524201,0.1936780113229648,0.24743404163158106,0.2554137293041676,1.035191553189219,0.9826695654705839,0.9931688856710245
AluYe6,0.31579034610794326,0.6845350426238043,0.39592963289828054,0.7523504405070041,2.1676883123369706,0.9826695654705839,0.9931688856710245
L1MC5,11.235462803341733,11.720293486041518,3.6129967669183447,3.6690600521426577,1.0431518212539734,0.9826695654705839,0.9931688856710245
LTR23-int,0.06139769261371171,0.07220016919372682,0.08596531757200696,0.10057426787121956,1.1759427105898823,0.9826695654705839,0.9931688856710245
LTR14,0.032074658533351015,0.033285612025769504,0.04554733665261134,0.04723908682651867,1.0377542098346557,0.9826695654705839,0.9931688856710245
MER119,0.7938602307386289,0.836093577145832,0.8430674865360798,0.8766395880784797,1.0531999773594756,0.9826695654705839,0.9931688856710245
MER4A1,0.6537926004508686,0.6963460662458515,0.7257783197194481,0.7624305196217429,1.0650871020245998,0.9826695654705839,0.9931688856710245
LTR81B,0.31902267603766077,0.33806208108283986,0.39946936695933744,0.42014505319357026,1.0596804126141912,0.9826695654705839,0.9931688856710245
