TE_name,scTE_logFC,scTE_pval,scTE_padj,soloTE_logFC,soloTE_pval,soloTE_padj,TE_family,TE_class,_merge,scTE_significant,soloTE_significant,scTE_direction,soloTE_direction,agreement,logFC_pearson_r,logFC_spearman_r
LTR51,-0.0047583235,0.171917323109773,1.0,0.01974751,0.1561771067189749,0.2387813592149066,LTR,LTR,both,False,False,Down,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR52,0.16050011,1.579498530154799e-05,0.0006740951118033,0.15370175,4.634727828295133e-05,0.000162065966641,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR52-int,0.16838965,0.23256989086874,1.0,0.086208604,0.3643682186565556,0.4870223785742371,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR53,0.018808499,0.0317769125412648,0.5127106226172504,0.04761353,0.0224272665409181,0.0441218819062708,LTR,LTR,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
LTR53-int,-0.116420895,0.872917761189815,1.0,-0.12978841,0.7056648835854673,0.8077515668496796,LTR,LTR,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
LTR53B,0.055041455,0.6512095807637476,1.0,0.03853855,0.693068240998214,0.8000915582982576,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR54,0.11339458,5.241009249311365e-07,2.833084300937069e-05,0.11170243,3.2054245405256127e-06,1.3083856220785206e-05,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR54B,0.03286732,0.0061564458633928,0.1325773173146484,0.048641086,0.0058673252756306,0.013389853892176,LTR,LTR,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
LTR55,0.033819113,0.0382784473972767,0.5955259517970657,0.027435137,0.0507225346378886,0.0894712044938354,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR56,0.01894603,0.011325615331932,0.2215993523300667,0.04464091,0.0049839728175959,0.0115936191722617,LTR,LTR,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
LTR57,0.08288828,0.3863307039691209,1.0,0.03485561,0.4280282454842722,0.5504841486843559,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR57-int,0.13935365,0.0005280677090695,0.0160757871918941,0.16424763,0.0004822491225208,0.0014166884791668,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR58,-0.13331163,0.8715414855312006,1.0,0.13652581,0.6440452383537842,0.7572071999734296,LTR,LTR,both,False,False,Down,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR59,-0.13083942,0.773255830870036,1.0,-0.096869856,0.7525072565731794,0.8392159116515705,LTR,LTR,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
LTR5A,-0.15376338,0.0045034848632163,0.1020795333449233,-0.13243861,0.03409733940016,0.0636170669703502,LTR,LTR,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
LTR5B,-0.15993108,0.0489913131959156,0.7219707440497966,-0.21285264,4.939515672952019e-06,1.947067268901814e-05,LTR,LTR,both,False,True,Down,Down,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
LTR5_Hs,,,,-0.2509489,1.5418388432957018e-18,1.3264708778829689e-17,LTR,LTR,right_only,False,True,None,Down,Missing_data,0.9937739085763165,0.9353183055874946
LTR60,-0.027102621,0.8442934262066593,1.0,-0.007075173,0.8365382985451137,0.8978292233890132,LTR,LTR,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
LTR60B,0.075266466,0.202187801966156,1.0,0.014072723,0.3134592244083198,0.4295699105671539,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR61,0.05519999,0.0172006112154372,0.3137221232193179,0.13006057,0.0036396321803784,0.0086899765897479,LTR,LTR,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
LTR62,-0.23253223,0.0019277991601959,0.049723567387993,-0.23291461,0.0007279063254623,0.0020336351979411,LTR,LTR,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR64,0.0673354,0.0134411387149677,0.255182055039831,0.06503933,0.0274940344823437,0.052552810429995,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR65,0.054552265,0.0216453976071526,0.379330295240761,0.09020264,0.0094185425847401,0.0202976146359012,LTR,LTR,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
LTR66,0.04882334,0.0668809556040466,0.9166831655106384,0.007950131,0.1231226535568187,0.1945553301101917,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR67B,-0.050796468,0.04370476239293,0.6602717792812788,-0.044525422,0.0504582250441176,0.0892279216114576,LTR,LTR,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
LTR68,0.19879292,0.0003747958134716,0.0119497875368,0.20941514,0.0004389498173861,0.0012929934838222,LTR,LTR,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
LTR69,0.23161472,0.20836449765781,1.0,0.22793548,0.214686881618387,0.3123766170125255,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR6A,0.006169816,0.0293531031195211,0.4839482936493025,0.021369293,0.0248680049894098,0.0480515461827455,LTR,LTR,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
LTR6B,-0.14047058,0.0330372289731792,0.529093924437283,-0.1379082,0.0276802938127141,0.052733635312798,LTR,LTR,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
LTR7,-0.0033053102,0.5794067907376341,1.0,-0.03903044,0.2254924440711103,0.3267831676110744,LTR,LTR,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
LTR70,0.011609289,0.0917715850950305,1.0,0.0145671405,0.1275530058273636,0.2000976241922752,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR71A,0.22472028,0.0100512773049968,0.1999119283921769,0.19943179,0.0211404253932213,0.0417417506853406,LTR,LTR,both,False,True,Up,Up,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
LTR71B,0.1504516,0.0416926172783414,0.6366278735328708,0.15712118,0.0448842486358017,0.0805538502006772,LTR,LTR,both,False,False,Up,Up,Neither_significant,0.9937739085763165,0.9353183055874946
LTR72,-0.003362223,0.4305078095993386,1.0,0.024562106,0.4953724162163365,0.6172226427339181,LTR,LTR,both,False,False,Down,Up,Neither_significant,0.9937739085763165,0.9353183055874946
