,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_type
MER87,118.37207747200064,0.2543798236332873,0.1904738017860277,1.3355108222129657,0.18170921564718645,0.5021993362081139,TE
MER87B,177.83740919585324,-0.03617017292968279,0.13607359928252594,-0.2658133033916714,0.7903829970749234,0.9145848245713806,TE
MER88,91.59752405359775,0.19217535008772293,0.25893808217205616,0.7421671948586863,0.4579860418569689,0.7315540401417614,TE
MER89,1030.9028623387592,0.1295439214447313,0.11750014864830452,1.1025000643401364,0.2702443305454449,0.5846078087440122,TE
MER89-int,688.7400850794584,0.12731544878017745,0.08278655499328359,1.5378759122239891,0.1240789579470878,0.44130632210359416,TE
MER90,766.3318052313673,0.16392911030812676,0.10525378756043528,1.5574651906374477,0.11936007888259373,0.434445599672684,TE
MER90a,1530.0345521747417,0.10085265603667255,0.0705801071129335,1.4289104984680838,0.15302995958224358,0.47410022024801185,TE
MER91A,2182.034930282007,0.11160085084984668,0.09323812475421557,1.1969443952678904,0.23132822858339133,0.5498664602748982,TE
MER91B,1162.3212201694903,0.1177100507829396,0.08862995585696225,1.3281068420355417,0.18414281347361466,0.5045266107018843,TE
MER91C,869.5101825582507,0.12692343033260367,0.10379903312186539,1.2227804683266081,0.22141262447332324,0.5412927023111583,TE
MER92-int,1154.340816274602,0.29531318163505393,0.13692193459303983,2.156799657504004,0.03102127782954625,0.28664003175709524,TE
MER92A,78.83657133616546,0.35466751357394244,0.19167330076408592,1.850375154808191,0.06425949738354707,0.3583649632403578,TE
MER92B,1021.9790535651034,0.04851967231173583,0.10242644616413213,0.47370258491626294,0.6357120097726354,0.8383235641247753,TE
MER92C,77.69563432806946,0.23368000666080038,0.16644519374832392,1.403945655614063,0.16033503287090428,0.4822484323402307,TE
MER92D,221.84786580067873,0.30637990906360774,0.17454043169954817,1.7553520756211174,0.07919910409610106,0.3783014734126714,TE
MER94,4060.1873841379893,0.13337726121564453,0.07708257963098133,1.7303165235798235,0.0835737389452165,0.3876343430538729,TE
MER94B,437.62542720424926,0.12118823479303975,0.07386834980638049,1.6405975645955466,0.10088098087731713,0.4104932530841904,TE
MER95,103.41690751298412,0.10513420177161224,0.11663743752645064,0.9013761276071438,0.36738836972438565,0.6647054976150469,TE
MER96,543.0878759250156,0.05175292979163138,0.10374578700798076,0.49884367629935883,0.6178895156493883,0.829495515395153,TE
MER96B,1733.3467669693541,-0.019664296678013605,0.06735905952899417,-0.2919324707844127,0.7703382562387178,0.904943523806606,TE
MER97a,406.1027447953076,-0.10487056895345032,0.1411785370601914,-0.7428223236846462,0.4575892581542823,0.7312691342723328,TE
MER97b,265.08441936955467,0.3291200707034185,0.1014668636478683,3.243621206678865,0.0011802058465359396,0.12824759664466626,TE
MER97c,321.5107277545488,0.08378842564885411,0.10408220871152332,0.8050215948153451,0.42080721832676,0.7059752830224407,TE
MER97d,340.6678636632531,-0.20138084017466118,0.15437685242427557,-1.3044756193189122,0.1920714669924659,0.51259602242702,TE
MER99,608.3808658324606,0.2052646050265502,0.09603677545067792,2.137354196486626,0.03256919386319977,0.2909501505640073,TE
MER9B,17.303230342082834,-0.11712409316770471,0.2937059301067203,-0.3987801442250307,0.6900552087083689,0.8678995109295796,TE
MER9a1,376.2231404053897,-0.013597197159007132,0.09906638020250053,-0.13725339647227694,0.8908305059509226,0.9581304922386964,TE
MER9a2,395.07196652382714,0.011669464916826551,0.09450987456697697,0.12347349914803527,0.9017321583082857,0.9632542194148812,TE
MER9a3,574.4068239714751,0.07695929159226236,0.08489883390876615,0.9064823160582421,0.36468062074309404,0.6631015536206298,TE
MERX,544.5237810924064,0.30570112397341376,0.1131340129607794,2.7021150931806184,0.006889990775312144,0.18846339514570892,TE
MIR,173127.044579458,0.1230900731614905,0.06621106122861185,1.8590560380309908,0.06301919573615691,0.35669298837266245,TE
MIR3,70240.96241509277,0.12635659972831823,0.06795521887297527,1.8594097969798207,0.06296907419468994,0.35669298837266245,TE
MIRb,214251.65556582587,0.12197711885190632,0.06899970623946344,1.7677918573824762,0.07709570667898141,0.37498754376934107,TE
MIRc,90519.44381550718,0.11909716924953065,0.06736035794208589,1.7680602195125845,0.07705083689008521,0.374940063157818,TE
MLT-int,289.5822492037553,0.2397748122370182,0.14436168378633923,1.660931113770424,0.0967272825417863,0.40577192333665346,TE
MLT1-int,483.69209108736845,0.5122279526664183,0.21202165873437875,2.415922768098606,0.015695390062575768,0.24104663270414528,TE
MLT1A,8263.649552617599,0.12875576399786182,0.09785101215285347,1.3158347692585122,0.1882295065657733,0.5088351941721511,TE
MLT1A-int,843.144941299069,0.28489960070577797,0.14123267231887723,2.0172357856582037,0.04367091323807603,0.31764540862505247,TE
MLT1A0,18562.270489911753,0.1214853321733456,0.08782454134098541,1.3832731753379688,0.1665811198352135,0.4882875007925093,TE
MLT1A0-int,1904.708077624537,0.09154731777359916,0.10386297680444564,0.8814239740688875,0.3780883863916651,0.6733191051272844,TE
MLT1A1,5928.543442403714,0.16555371895643448,0.10177580840012465,1.6266509847366803,0.10381124435381084,0.4143467888405128,TE
