names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
MamRTE1,6.986318,0.08163037,2.821936668399738e-12,3.0898781298437535e-11,MamRTE1,Unknown,Unknown
L1P4,6.5490384,0.10132604,5.7908723921368215e-11,5.921986484034259e-10,L1P4,LINE-1,LINE
L1ME3C,6.545345,0.09610634,5.93582277833622e-11,6.013487749267722e-10,L1ME3C,LINE-1,LINE
L1ME3E,6.5088053,0.09879186,7.575075405894461e-11,7.533377743109721e-10,L1ME3E,LINE-1,LINE
AluSq2,6.4356213,0.020791387,1.2296942986654282e-10,1.2118078361393856e-09,AluSq2,Alu,SINE
L1M8,6.433329,0.1422768,1.2483878506720415e-10,1.2191463334490928e-09,L1M8,LINE-1,LINE
Tigger1,6.311076,0.02516669,2.7710172403262767e-10,2.634897095187442e-09,Tigger1,Unknown,Unknown
L3,6.255343,0.032917146,3.9664385972318883e-10,3.738799512521189e-09,L3,Unknown,Unknown
L1MA8,6.236151,0.056048114,4.484675835346459e-10,4.155032996167147e-09,L1MA8,LINE-1,LINE
L1ME3D,6.1677246,0.090937205,6.927962699959868e-10,6.3108500560978965e-09,L1ME3D,LINE-1,LINE
L1MEj,6.088805,0.11118424,1.1375630499678341e-09,1.019106071210853e-08,L1MEj,LINE-1,LINE
L1M4a2,6.0821233,0.114369206,1.1860124638934876e-09,1.0538012384102792e-08,L1M4a2,LINE-1,LINE
L1MB1,5.909307,0.056423116,3.435504033161067e-09,3.003295461247255e-08,L1MB1,LINE-1,LINE
Tigger4a,5.9035525,0.0777666,3.5575637993384977e-09,3.085119326786345e-08,Tigger4a,Unknown,Unknown
HAL1M8,5.789304,0.11363423,7.067871026345548e-09,6.032734009888641e-08,HAL1M8,Unknown,Unknown
MER33,5.7253385,0.059937764,1.0322781277054996e-08,8.74210539400595e-08,MER33,LTR,LTR
MER20,5.7086654,0.040159233,1.1386559609822078e-08,9.494638936190102e-08,MER20,LTR,LTR
L1MEh,5.6978393,0.13696606,1.213352195556484e-08,9.964195302903247e-08,L1MEh,LINE-1,LINE
Tigger15a,5.328947,0.05733979,9.878373076018088e-08,7.759533633625803e-07,Tigger15a,Unknown,Unknown
Charlie7,5.242973,0.08662904,1.580098622316166e-07,1.2062161314019184e-06,Charlie7,Unknown,Unknown
L1MA9,5.2171025,0.0295403,1.817434733082937e-07,1.377691783679653e-06,L1MA9,LINE-1,LINE
AluSq,4.8319488,0.019016152,1.3520289706705587e-06,9.77066269471257e-06,AluSq,Alu,SINE
L1MA4A,4.7802186,0.024130845,1.7510451835259333e-06,1.240609790158243e-05,L1MA4A,LINE-1,LINE
AluSp,4.6654387,0.022032287,3.0795907472567303e-06,2.126290681545411e-05,AluSp,Alu,SINE
AluSg,4.56161,0.018801833,5.076278688693689e-06,3.396719813916024e-05,AluSg,Alu,SINE
HAL1b,4.355296,0.054292407,1.328871216238637e-05,8.473508225898132e-05,HAL1b,Unknown,Unknown
L1M4a1,4.306812,0.056853894,1.6562446129049883e-05,0.00010259252345080041,L1M4a1,LINE-1,LINE
Charlie5,4.30099,0.08918507,1.7003661610526777e-05,0.00010472709764665357,Charlie5,Unknown,Unknown
MER5A,4.265052,0.024698671,1.9985579296372234e-05,0.00012170993234419945,MER5A,LTR,LTR
Charlie15b,4.2616243,0.1301864,2.0294623809111147e-05,0.00012290152072109766,Charlie15b,Unknown,Unknown
L1MA7,4.250306,0.03908458,2.1347873913430534e-05,0.00012856164067865945,L1MA7,LINE-1,LINE
MER113,4.227534,0.059061937,2.362668021007119e-05,0.00014072154586657783,MER113,LTR,LTR
L1PA14,4.19295,0.03676189,2.7535064463996766e-05,0.00016221744499441573,L1PA14,LINE-1,LINE
L1MC3,4.140551,0.041671123,3.464726361422314e-05,0.00020084296127175337,L1MC3,LINE-1,LINE
Tigger2a,4.027912,0.041232284,5.627441937393477e-05,0.0003193794272321743,Tigger2a,Unknown,Unknown
L1MD1,3.9869797,0.014734069,6.69197249727367e-05,0.00037781761390857596,L1MD1,LINE-1,LINE
L1M4b,3.9640932,0.029739112,7.367544759873015e-05,0.00041380406837836,L1M4b,LINE-1,LINE
Tigger4b,3.9255257,0.045935884,8.654053346994608e-05,0.00048355638289392555,Tigger4b,Unknown,Unknown
Charlie2b,3.8991365,0.045157496,9.653629648934016e-05,0.0005366427968945883,Charlie2b,Unknown,Unknown
MER103C,3.821769,0.040870003,0.00013249781511118274,0.0007217468923644326,MER103C,LTR,LTR
L1MA10,3.7203975,0.05112216,0.00019890945923281236,0.001031664372288845,L1MA10,LINE-1,LINE
LTR41C,3.6476054,0.25157136,0.00026469560612634585,0.0013470893757791496,LTR41C,LTR,LTR
AluSx4,3.524221,0.012390857,0.00042473005782394464,0.002111960471014477,AluSx4,Alu,SINE
