names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
UCON80,0.01637011,0.18944027,0.9869391245939133,1.0,UCON80,Unknown,Unknown
CR1-8_Crp,0.015658367,-0.77175957,0.9875069412782664,1.0,CR1-8_Crp,Unknown,Unknown
UCON97,0.015658367,-0.11682393,0.9875069412782664,1.0,UCON97,Unknown,Unknown
X7D_LINE,0.015658367,-0.62413335,0.9875069412782664,1.0,X7D_LINE,Unknown,Unknown
LTR53B,0.015658367,-0.10044506,0.9875069412782664,1.0,LTR53B,LTR,LTR
LTR59,0.015658367,-0.59634405,0.9875069412782664,1.0,LTR59,LTR,LTR
LTR22C0,0.015658367,-0.29965132,0.9875069412782664,1.0,LTR22C0,LTR,LTR
UCON69,0.015658367,-0.99529463,0.9875069412782664,1.0,UCON69,Unknown,Unknown
LTR1E,0.015658367,-0.28697133,0.9875069412782664,1.0,LTR1E,LTR,LTR
UCON99,0.015658367,-0.20674065,0.9875069412782664,1.0,UCON99,Unknown,Unknown
MER103C,0.013523135,0.0059579285,0.9892104281502497,1.0,MER103C,LTR,LTR
LTR52,0.012099647,-0.17735563,0.9903461138714289,1.0,LTR52,LTR,LTR
Charlie2b,0.009964415,0.015803454,0.9920496784107836,1.0,Charlie2b,Unknown,Unknown
LTR78,0.0096085435,-0.005404871,0.9923336095676614,1.0,LTR78,LTR,LTR
MER57D,0.0071174395,0.24294771,0.9943211528368954,1.0,MER57D,LTR,LTR
MER31-int,0.0071174395,-0.1810428,0.9943211528368954,1.0,MER31-int,LTR,LTR
MLT2E,0.0060498235,0.24294531,0.9951729686020435,1.0,MLT2E,LTR,LTR
Kanga1a,0.0053380798,-0.078452945,0.995740848895295,1.0,Kanga1a,Unknown,Unknown
LTR90B,0.0049822074,0.08442766,0.9960247898689917,1.0,LTR90B,LTR,LTR
MLT1E2-int,0.0046263356,0.08733814,0.9963087313461241,1.0,MLT1E2-int,LTR,LTR
LTR40A1,0.003914592,0.27554375,0.9968766156668605,1.0,LTR40A1,LTR,LTR
UCON29,0.0032028477,-0.42315468,0.9974445015698309,1.0,UCON29,Unknown,Unknown
MLT1M,0.0024911037,-0.17752834,0.9980123887673596,1.0,MLT1M,LTR,LTR
LTR42,0.00071174395,0.16255926,0.9994321105369869,1.0,LTR42,LTR,LTR
LTR109A2,0.0,0.0,1.0,1.0,LTR109A2,LTR,LTR
Eulor1,0.0,0.0,1.0,1.0,Eulor1,Unknown,Unknown
UCON51,0.0,0.0,1.0,1.0,UCON51,Unknown,Unknown
Eulor2B,0.0,0.0,1.0,1.0,Eulor2B,Unknown,Unknown
HERV-Fc1_LTR2,0.0,0.0,1.0,1.0,HERV-Fc1_LTR2,LTR,LTR
Eulor7,0.0,0.0,1.0,1.0,Eulor7,Unknown,Unknown
MER9B,0.0,0.0,1.0,1.0,MER9B,LTR,LTR
Eulor2C,0.0,0.0,1.0,1.0,Eulor2C,Unknown,Unknown
Eulor3,0.0,0.0,1.0,1.0,Eulor3,Unknown,Unknown
LTR22C,0.0,0.0,1.0,1.0,LTR22C,LTR,LTR
HERV-Fc1_LTR1,0.0,0.0,1.0,1.0,HERV-Fc1_LTR1,LTR,LTR
Eulor6A,0.0,0.0,1.0,1.0,Eulor6A,Unknown,Unknown
LTR21C,0.0,0.0,1.0,1.0,LTR21C,LTR,LTR
Eulor6E,0.0,0.0,1.0,1.0,Eulor6E,Unknown,Unknown
UCON11,0.0,0.0,1.0,1.0,UCON11,Unknown,Unknown
MER136,0.0,0.0,1.0,1.0,MER136,LTR,LTR
MLT1E-int,0.0,0.0,1.0,1.0,MLT1E-int,LTR,LTR
CRP1,0.0,0.0,1.0,1.0,CRP1,Unknown,Unknown
LTR108c_Mam,0.0,0.0,1.0,1.0,LTR108c_Mam,LTR,LTR
MER132,0.0,0.0,1.0,1.0,MER132,LTR,LTR
MamRep1161,0.0,0.0,1.0,1.0,MamRep1161,Unknown,Unknown
HERV-Fc2_LTR,0.0,0.0,1.0,1.0,HERV-Fc2_LTR,LTR,LTR
