names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
LTR21B,-0.1934961,-1.7809793,0.8465704687416693,1.0,LTR21B,LTR,LTR
LTR1D,-0.19805099,-0.06564261,0.8430051711780842,1.0,LTR1D,LTR,LTR
MER76,-0.19919594,-0.08845202,0.8421094789850778,1.0,MER76,LTR,LTR
HERVE_a-int,-0.20170984,-0.12470785,0.8401435686360077,1.0,HERVE_a-int,Unknown,Unknown
MER31A,-0.20646386,0.008977696,0.836428591066835,1.0,MER31A,LTR,LTR
CR1-11_Crp,-0.20982403,-1.5516235,0.833805015223019,1.0,CR1-11_Crp,Unknown,Unknown
MER83A-int,-0.21022227,-0.13662457,0.8334941949116031,1.0,MER83A-int,LTR,LTR
LTR40a,-0.21156634,-0.029185567,0.8324453687412174,1.0,LTR40a,LTR,LTR
Charlie13b,-0.21360734,-0.05525666,0.8308532775999624,1.0,Charlie13b,Unknown,Unknown
L1M2b,-0.2137069,0.0017892944,0.830775632317493,1.0,L1M2b,LINE-1,LINE
MER68-int,-0.21400557,0.017530777,0.8305427063851729,1.0,MER68-int,LTR,LTR
LTR80B,-0.21413003,-0.029770434,0.8304456583062791,1.0,LTR80B,LTR,LTR
LTR06,-0.21562344,-0.12525909,0.8292812834905612,1.0,LTR06,LTR,LTR
LTR77,-0.220029,-0.4961556,0.8258485713248145,1.0,LTR77,LTR,LTR
X5B_LINE,-0.22017834,-0.39680526,0.8257322661247427,1.0,X5B_LINE,Unknown,Unknown
LTR30,-0.22067614,-0.24804606,0.8253446097578996,1.0,LTR30,LTR,LTR
CR1-12_AMi,-0.22535549,-0.034099903,0.8217027338625682,1.0,CR1-12_AMi,Unknown,Unknown
Tigger20a,-0.22669956,-0.022086136,0.8206573694026645,1.0,Tigger20a,Unknown,Unknown
LTR1,-0.22737159,-0.15451702,0.8201348064884224,1.0,LTR1,LTR,LTR
MER68C,-0.2341666,-0.3987379,0.8148556379001776,1.0,MER68C,LTR,LTR
Tigger2a,-0.2359836,-0.016003875,0.8134454048191487,1.0,Tigger2a,Unknown,Unknown
LTR1C1,-0.23720321,-0.48528448,0.8124991488274651,1.0,LTR1C1,LTR,LTR
UCON100,-0.23929398,-0.53246164,0.8108776332280911,1.0,UCON100,Unknown,Unknown
MER45A,-0.24038915,-0.01679779,0.8100285911779186,1.0,MER45A,LTR,LTR
LTR18B,-0.24317685,-0.1670473,0.8078684039575814,1.0,LTR18B,LTR,LTR
